ticker,rv_current,rv_percentile,rv_52w_min,rv_52w_max,rv_20,rv_60,rv_term_structure,atr_pct,atr_pct_percentile,expansion_ratio,expansion_tier,adv_30d,adv_90d,close_price,last_date,cv_30,range_rel_20,volume_spike_180,is_compressed,is_deal_pending,is_straddle_candidate,rank_rv_pct,rank_atr_pct,rank_term_structure,borda_score,borda_rank,name,type,market_cap,next_earnings_date,days_to_earnings
WBD,13.2,0.0,13.2,67.47,8.43,10.38,0.812,0.862,7.14,5.11,HIGH,17237010,22762748,27.0,2026-05-26,0.00622,0.00908,11.57,True,False,True,1.0,11.0,7.0,19.0,2.0,Warner Bros Discovery Inc,Common Stock,67604942848.0,2026-08-06,71.0
SEM,20.31,0.0,20.31,59.86,2.91,16.63,0.175,0.389,0.0,2.95,LOW,1869193,1945284,16.54,2026-05-26,0.00426,0.00243,18.41,True,True,False,,,,,,Select Medical Holdings,Common Stock,2051151872.0,2026-07-30,64.0
JHG,14.15,0.0,14.15,47.72,1.51,9.16,0.164,0.172,7.14,3.37,MEDIUM,2174657,2794941,51.84,2026-05-26,0.00186,0.00149,10.11,True,True,False,,,,,,Janus Henderson Group PLC,Common Stock,7981887488.0,2026-07-30,64.0
WBS,23.7,0.26,23.62,49.28,14.58,17.84,0.817,1.139,0.79,2.08,LOW,2906153,4126015,72.75,2026-05-26,0.00771,0.00926,9.61,True,False,True,2.0,6.0,8.0,16.0,1.0,Webster Financial Corporation,Common Stock,11787427840.0,2026-07-23,57.0
TCOM,29.94,0.66,22.76,48.08,30.42,26.61,1.143,3.062,80.16,1.61,INSUFFICIENT,3033582,3437077,47.35,2026-05-26,0.04657,0.02166,14.88,True,False,False,,,,,,Trip.com Group Ltd ADR,Common Stock,29199429632.0,,
DBRG,2.71,0.79,2.67,83.33,2.22,2.6,0.857,0.219,0.0,30.75,HIGH,3330722,3341293,15.69,2026-05-26,0.00307,0.00241,28.73,True,True,False,,,,,,Digitalbridge Group Inc,Common Stock,3058158592.0,2026-08-06,71.0
VKTX,58.44,1.06,58.44,113.07,46.48,50.29,0.924,4.06,0.0,1.93,INSUFFICIENT,2221320,2557769,30.8,2026-05-26,0.06197,0.04802,3.03,True,False,True,3.0,1.0,23.0,27.0,5.0,Viking Therapeutics Inc,Common Stock,3545866240.0,2026-07-29,63.0
OPEN,67.93,1.46,67.93,213.16,47.08,63.55,0.741,6.864,7.94,3.14,MEDIUM,37249480,41340827,4.48,2026-05-26,0.08862,0.06589,19.03,True,False,True,4.0,13.0,2.0,19.0,3.0,Opendoor Technologies Inc,Common Stock,4370257408.0,2026-08-06,71.0
COGT,44.45,1.59,44.36,143.54,38.21,43.87,0.871,4.163,9.52,3.23,MEDIUM,1693332,1998901,33.94,2026-05-26,0.05045,0.03973,11.81,True,False,True,5.0,15.0,14.0,34.0,7.0,Cogent Biosciences Inc,Common Stock,5582257152.0,,
IONS,29.5,1.85,29.17,61.47,26.12,29.01,0.9,3.06,40.48,2.08,LOW,1795491,2100566,76.07,2026-05-26,0.01791,0.03231,5.77,True,False,True,6.0,23.0,21.0,50.0,17.0,Ionis Pharmaceuticals Inc,Common Stock,12429396992.0,2026-08-05,70.0
